Description,Price,Rating,,ReviewCount,Url,
Gaming Chair - Racing Office Computer Ergonomic Video Game Chair with Headrest and Lumbar Pillow,$99.00 ,4.5 out of 5 stars,4.5,38,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0913516FPIC5BR079Y&url=%2FGaming-Chair-Computer-Ergonomic-Headrest%2Fdp%2FB09WGWFRWB%2Fref%3Dsr_1_17_sspa%3Fkeywords%3Dgaming%2Bchairs%26qid%3D1650128992%26sr%3D8-17-spons%26psc%3D1&qualifier=1650128992&id=4343724233162461&widgetName=sp_mtf, 
"Razer Enki X Essential Gaming Chair: All-Day Gaming Comfort - Built-in Lumbar Arch - Optimized Cushion Density - Dual-Textured, Eco-Friendly Synthetic Leather - Adjustable 152-degree Recline",$279.99 ,4.6 out of 5 stars,4.6,185,https://www.amazon.com/Razer-Essential-Gaming-Chair-Built/dp/B09CLMBFQZ/ref=sr_1_18?keywords=gaming+chairs&qid=1650128992&sr=8-18, 
"Comfty RGB LED Reclining Diamond Quilted Black Leather Racing Gaming Pillows & Remote Control Chairs, Multicolor",$176.91 ,4.4 out of 5 stars,4.4,3,https://www.amazon.com/Comfty-Chairs-CFTYRGB002-Multicolor/dp/B095Z62TZL/ref=sr_1_19?keywords=gaming+chairs&qid=1650128992&sr=8-19, 
"Flash Furniture X10 Gaming Chair Racing Office Ergonomic Computer PC Adjustable Swivel Chair with Flip-up Arms, Blue/Black LeatherSoft",$144.00 ,4.4 out of 5 stars,4.4,"4,244",https://www.amazon.com/Flash-Furniture-Ergonomic-Adjustable-LeatherSoft/dp/B07VBP2LY2/ref=sr_1_20?keywords=gaming+chairs&qid=1650128992&sr=8-20, 
"X Rocker Mammoth Pedestal 2.1 BT PC Office Gaming Chair, 32"" x 26"" x 40.9"", Black",$226.10 ,4.4 out of 5 stars,4.4,319,https://www.amazon.com/Rocker-Mammoth-Pedestal-25-98-5152201/dp/B0899P3DLC/ref=sr_1_22?keywords=gaming+chairs&qid=1650128992&sr=8-22, 
"Comfty High Back and Hinged Armrests Reclining Leather Gaming Chair, Black/Red",$129.72 ,4.5 out of 5 stars,4.5,2,https://www.amazon.com/Comfty-Reclining-Leather-Fold-Away-Footrest/dp/B095Z5XKXQ/ref=sr_1_23?keywords=gaming+chairs&qid=1650128992&sr=8-23, 
"Office Chair, Bonded Leather Computer Gaming Chair High Back Ergonomic Desk Executive Chair Swivel Task Chair Comfortable Padded Armrest and Adjustable Height for Teens Adults (Gray)",$91.34 ,4.5 out of 5 stars,4.5,114,https://www.amazon.com/Computer-Ergonomic-Executive-Comfortable-Adjustable/dp/B09MHMPF1K/ref=sr_1_24?keywords=gaming+chairs&qid=1650128992&sr=8-24, 
"AKRacing Masters Series Premium Gaming Chair with High Backrest, Recliner, Swivel, Tilt, Rocker and Seat Height Adjustment Mechanisms with 5/10 Warranty",$504.00 ,4.4 out of 5 stars,4.4,537,https://www.amazon.com/AKRacing-Backrest-Recliner-Adjustment-Mechanisms-pc/dp/B07B43VRGL/ref=sr_1_25?keywords=gaming+chairs&qid=1650128992&sr=8-25, 
"Office Gaming Chair, PU Leather Computer Chair, Comfortable Swivel Task Home Office Desk Chair High Back with Adjustable Armrests, Black/Grey",$98.99 ,1.0 out of 5 stars,1.0,1,https://www.amazon.com/Leather-Computer-Comfortable-Adjustable-Armrests/dp/B09WMT8DHH/ref=sr_1_26?keywords=gaming+chairs&qid=1650128992&sr=8-26, 
"RESPAWN 200 Racing Style Gaming Chair, in Blue RSP 200 BLU",$188.56 ,4.4 out of 5 stars,4.4,538,https://www.amazon.com/RESPAWN-200-Racing-Style-Gaming-Chair/dp/B076HMWRZT/ref=sr_1_27?keywords=gaming+chairs&qid=1650128992&sr=8-27, 
